licenses,parsed_address,similarity score,permit,apn,many_to_many
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-04173l,3012300954,both
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-03479l,3012300954,both
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-03551l,3012300954,both
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-07473l,3012300954,both
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-01988l,3012300954,both
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-05167l,3012300954,both
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-04107l,3012300954,both
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-06970l,3012300954,both
1444 granada av 92102,1444 granada ave 92102,98,str-01919l,5394011000,both
822 capistrano pl 92109,822 capistrano pl 92109,100,str-01095l,4237311000,both
815 san jose pl 92109,815 san jose pl 92109,100,str-04876l,4235791100,both
815 santa barbara pl 92109,815 santa barbara pl 92109,100,str-00626l,4236572102,both
815 santa barbara pl 92109,815 santa barbara pl 92109,100,str-01758l,4236572102,both
6461 beaver lake court 92119,6461 beaver lake court 92119,100,str-01530l,4570741100,both
3301 meridian av 92115,3301 meridian ave 92115,98,str-03565l,4780901000,both
2177 cowley wy 92110,2175 cowley way 92110,93,str-04122l,4303000600,both
2177 cowley wy 92110,2175 cowley way 92110,93,str-05835l,4303000600,both
2821 imperial av 92102,2821 imperial ave 92102,98,str-05836l,5453511000,both
3005 broadway 92102,3005 broadway 92102,100,str-04894l,5396010100,both
3005 broadway 92102,3005 broadway 92102,100,str-04934l,5396010100,both
3005 broadway 92102,3005 broadway 92102,100,str-05109l,5396010100,both
448 sea ln 92037,448 sea ln 92037,100,str-05858l,3510140600,both
730 asbury court 92109,730 asbury court 92109,100,str-03912l,4237440900,both
730 asbury court 92109,730 asbury court 92109,100,str-03900l,4237440900,both
6324 la pintura dr 92037,6324 la pintura dr 92037,100,str-05879l,3525010700,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-00799l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-03233l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-00421l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-03311l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-00385l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-02576l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-03089l,4155811311,both
